age,path,split
31,AgeDB/11706_OliviaHussey_31_f.jpg,train
59,AgeDB/11684_MireilleDarc_59_f.jpg,val
44,AgeDB/7955_GilbertRoland_44_m.jpg,train
61,AgeDB/9352_GeorgesMarchal_61_m.jpg,val
28,AgeDB/3888_TomasMilian_28_m.jpg,val
8,AgeDB/16107_DannyGlover_8_m.jpg,test
34,AgeDB/13784_ThelmaRitter_34_f.jpg,train
74,AgeDB/9945_AliMacGraw_74_f.jpg,train
25,AgeDB/12634_HedyLamarr_25_f.jpg,val
62,AgeDB/15404_JanePowell_62_f.jpg,train
4,AgeDB/13911_BettyGrable_4_f.jpg,train
57,AgeDB/9901_RoseMarie_57_f.jpg,test
35,AgeDB/4087_DickVanDyke_35_m.jpg,test
61,AgeDB/3876_SteveMartin_61_m.jpg,train
40,AgeDB/1844_TomJones_40_m.jpg,val
24,AgeDB/13324_AvaGardner_24_f.jpg,train
31,AgeDB/10113_JaneFonda_31_f.jpg,train
50,AgeDB/9119_MarlonBrando_50_m.jpg,train
39,AgeDB/4062_ClintWalker_39_m.jpg,train
68,AgeDB/15141_CatherineSchell_68_f.jpg,test
52,AgeDB/12473_AnnaMassey_52_f.jpg,test
54,AgeDB/4760_MichelPiccoli_54_m.jpg,train
42,AgeDB/13206_MichellePfeiffer_42_f.jpg,train
36,AgeDB/9578_MarcelloMastroianni_36_m.jpg,train
24,AgeDB/10244_LivUllmann_24_f.jpg,train
16,AgeDB/718_RonaldReagan_16_m.jpg,test
70,AgeDB/3471_LeslieCaron_70_m.jpg,train
37,AgeDB/4536_DustinHoffman_37_m.jpg,train
56,AgeDB/5080_AnthonyHopkins_56_m.jpg,train
46,AgeDB/4100_DickVanDyke_46_m.jpg,train
33,AgeDB/11707_OliviaHussey_33_f.jpg,train
45,AgeDB/5673_RayDanton_45_m.jpg,train
67,AgeDB/2445_ChevyChase_67_m.jpg,train
45,AgeDB/6612_LouCostello_45_m.jpg,train
47,AgeDB/10356_AnitaEkberg_47_f.jpg,train
28,AgeDB/1871_AlanYoung_28_m.jpg,train
53,AgeDB/15269_DyanCannon_53_f.jpg,train
67,AgeDB/9975_ElkeSommer_67_f.jpg,train
67,AgeDB/7776_AlbertoSordi_67_m.jpg,train
52,AgeDB/13156_JaneWyman_52_f.jpg,train
49,AgeDB/2308_SamNeill_49_m.jpg,train
57,AgeDB/1271_IlyaPrigogine_57_m.jpg,train
68,AgeDB/697_GeorgeHWBush_68_m.jpg,val
59,AgeDB/15061_BettyGarrett_59_f.jpg,test
34,AgeDB/3722_RogerAllam_34_m.jpg,train
59,AgeDB/3587_MichaelYork_59_m.jpg,val
52,AgeDB/16125_SamuelJacksonn_52_m.jpg,train
25,AgeDB/9672_MegRyan_25_f.jpg,train
26,AgeDB/2871_SamElliott_26_m.jpg,train
37,AgeDB/12657_IsabelleHuppert_37_f.jpg,train
49,AgeDB/13196_MichellePfeiffer_49_f.jpg,train
44,AgeDB/15872_StВphaneAudran_44_f.jpg,test
35,AgeDB/789_akistsoxatzopoulos_35_m.jpg,train
47,AgeDB/5131_ArmandAssante_47_m.jpg,train
62,AgeDB/3825_StacyKeach_62_m.jpg,train
78,AgeDB/4005_BurtReynolds_78_m.jpg,train
69,AgeDB/7049_DavidNiven_69_m.jpg,train
44,AgeDB/11038_EmmaThompson_44_f.jpg,train
67,AgeDB/10363_AnitaEkberg_67_f.jpg,train
63,AgeDB/8777_AlecGuinness_63_m.jpg,train
33,AgeDB/6580_LexBarker_33_m.jpg,train
38,AgeDB/6452_JohnVernon_38_m.jpg,val
35,AgeDB/9921_AliMacGraw_35_f.jpg,train
72,AgeDB/2486_ClaudeRich_72_m.jpg,val
40,AgeDB/13674_LilliPalmer_40_f.jpg,train
39,AgeDB/8499_AlejandroRey_39_m.jpg,train
47,AgeDB/13107_GretaGarbo_47_f.jpg,train
39,AgeDB/5558_PatrickStewart_39_m.jpg,train
50,AgeDB/8147_LorneGreene_50_m.jpg,test
